date,open,high,low,close,volume,dividend,split
2017-01-02,481.1600036621094,487.1000061035156,481.010009765625,486.3699951171875,35770100,0,1
2017-01-03,488.07000732421875,489.9100036621094,487.30999755859375,487.989990234375,79701500,0,1
2017-01-04,489.67999267578125,489.67999267578125,486.510009765625,487.5799865722656,81563200,0,1
2017-01-05,486.5,488.32000732421875,485.7799987792969,486.92999267578125,81001600,0,1
2017-01-06,486.5899963378906,487.3399963378906,485.05999755859375,487.0,57369100,0,1
2017-01-09,487.75,487.75,484.0199890136719,485.1000061035156,67218500,0,1
2017-01-10,485.260009765625,486.2300109863281,483.0199890136719,484.739990234375,94026600,0,1
2017-01-11,484.4100036621094,488.8599853515625,482.8999938964844,486.5799865722656,86787300,0,1
2017-01-12,485.1700134277344,486.4800109863281,482.4100036621094,483.0899963378906,84997200,0,1
2017-01-13,485.67999267578125,488.1099853515625,484.8500061035156,488.0899963378906,68699100,0,1
2017-01-16,485.2200012207031,486.1700134277344,484.07000732421875,484.1300048828125,54580000,0,1
2017-01-17,482.3399963378906,484.05999755859375,480.5299987792969,481.7699890136719,68293200,0,1
2017-01-18,484.7300109863281,485.44000244140625,481.8699951171875,484.75,80006700,0,1
2017-01-19,486.57000732421875,486.5899963378906,482.69000244140625,484.6400146484375,81100700,0,1
2017-01-20,484.55999755859375,487.9599914550781,483.3800048828125,485.9800109863281,98200700,0,1
2017-01-23,483.8900146484375,485.45001220703125,481.29998779296875,482.7099914550781,71580100,0,1
2017-01-24,482.94000244140625,483.92999267578125,482.05999755859375,483.04998779296875,90070300,0,1
2017-01-25,486.3599853515625,489.0799865722656,485.6499938964844,488.0299987792969,103752800,0,1
2017-01-26,488.2900085449219,488.6499938964844,485.17999267578125,486.45001220703125,95245700,0,1
2017-01-27,486.3900146484375,486.6000061035156,484.42999267578125,485.8699951171875,73622900,0,1
2017-01-30,484.4200134277344,485.4200134277344,478.1199951171875,479.5299987792969,81036900,0,1
2017-01-31,479.9700012207031,482.8500061035156,476.7099914550781,476.7099914550781,92991700,0,1
2017-02-01,480.19000244140625,482.5,479.3800048828125,479.6499938964844,104200600,0,1
2017-02-02,480.2300109863281,484.2300109863281,479.5799865722656,482.19000244140625,117018500,0,1
2017-02-03,483.3800048828125,487.260009765625,482.3599853515625,485.9200134277344,99132500,0,1
2017-02-06,486.5799865722656,487.29998779296875,481.95001220703125,482.0799865722656,75567300,0,1
2017-02-07,481.70001220703125,485.989990234375,481.70001220703125,484.2799987792969,71267700,0,1
2017-02-08,485.8599853515625,485.8599853515625,480.2300109863281,483.510009765625,95516000,0,1
2017-02-09,484.6199951171875,489.1199951171875,484.57000732421875,488.5,102501500,0,1
2017-02-10,490.6700134277344,490.8599853515625,487.92999267578125,489.55999755859375,121559500,0,1
2017-02-13,491.30999755859375,495.17999267578125,490.989990234375,494.04998779296875,93197100,0,1
2017-02-14,494.739990234375,495.0400085449219,493.2900085449219,494.6199951171875,79075300,0,1
2017-02-15,496.4599914550781,497.1400146484375,494.6099853515625,496.6600036621094,89396900,0,1
2017-02-16,494.82000732421875,495.8399963378906,492.92999267578125,493.9800109863281,90426300,0,1
2017-02-17,493.1199951171875,499.0799865722656,489.79998779296875,499.0799865722656,144244800,0,1
2017-02-20,496.6700134277344,497.2900085449219,494.2200012207031,495.6600036621094,71717300,0,1
2017-02-21,495.2200012207031,499.1300048828125,494.5199890136719,498.57000732421875,78480000,0,1
2017-02-22,499.6099853515625,500.94000244140625,496.94000244140625,499.1099853515625,97884700,0,1
2017-02-23,498.9200134277344,500.5799865722656,497.05999755859375,497.6300048828125,94218800,0,1
2017-02-24,497.2900085449219,497.6199951171875,491.19000244140625,494.8999938964844,116904000,0,1
2017-02-27,496.6000061035156,497.25,494.05999755859375,494.80999755859375,75699900,0,1
2017-02-28,496.2300109863281,496.57000732421875,491.8699951171875,495.3500061035156,91261700,0,1
2017-03-01,499.1400146484375,505.5,498.94000244140625,505.0400085449219,107669500,0,1
2017-03-02,505.3699951171875,505.3699951171875,502.44000244140625,503.7900085449219,88016100,0,1
2017-03-03,502.3500061035156,506.0400085449219,501.9800109863281,505.8599853515625,111904200,0,1
2017-03-06,503.80999755859375,503.9700012207031,501.4599914550781,503.6499938964844,69512100,0,1
2017-03-07,503.8999938964844,504.9599914550781,502.3500061035156,502.95001220703125,64972200,0,1
2017-03-08,502.3399963378906,503.75,501.0,502.79998779296875,83962000,0,1
2017-03-09,504.5299987792969,508.19000244140625,503.92999267578125,507.739990234375,126488200,0,1
2017-03-10,510.1700134277344,514.0399780273438,509.45001220703125,511.1400146484375,109882100,0,1
2017-03-13,511.6199951171875,513.0900268554688,510.6300048828125,511.8999938964844,77613400,0,1
2017-03-14,512.3499755859375,512.3499755859375,508.6700134277344,510.05999755859375,91845500,0,1
2017-03-15,511.489990234375,513.25,511.1099853515625,511.6600036621094,84935300,0,1
2017-03-16,516.1099853515625,516.1099853515625,513.27001953125,514.530029296875,111944100,0,1
2017-03-17,513.3699951171875,516.9000244140625,512.969970703125,516.239990234375,137061100,0,1
2017-03-20,514.760009765625,516.5399780273438,514.6199951171875,515.0900268554688,62902400,0,1
2017-03-21,517.1500244140625,518.8800048828125,512.4299926757812,513.5900268554688,94881400,0,1
2017-03-22,510.80999755859375,511.20001220703125,506.3900146484375,509.5199890136719,132643200,0,1
2017-03-23,509.57000732421875,512.97998046875,508.1300048828125,512.6199951171875,96454700,0,1
2017-03-24,512.5,512.7999877929688,510.4100036621094,511.5299987792969,92914200,0,1
2017-03-27,506.6499938964844,509.55999755859375,506.2300109863281,509.32000732421875,101552400,0,1
2017-03-28,510.8999938964844,512.1500244140625,508.8900146484375,512.1500244140625,73286300,0,1
2017-03-29,513.8200073242188,514.7000122070312,511.6700134277344,513.5800170898438,86785800,0,1
2017-03-30,513.7100219726562,515.72998046875,513.0900268554688,515.72998046875,74519100,0,1
2017-03-31,514.5999755859375,516.5399780273438,513.760009765625,516.5399780273438,94663200,0,1
2017-04-03,517.52001953125,518.3200073242188,513.25,513.4500122070312,83883400,0,1
2017-04-04,513.4600219726562,514.3800048828125,512.1199951171875,514.0499877929688,77869700,0,1
2017-04-05,515.0700073242188,517.3699951171875,514.5599975585938,514.8900146484375,84498700,0,1
2017-04-06,511.4800109863281,516.5599975585938,510.8599853515625,516.2999877929688,84187900,0,1
2017-04-07,515.5800170898438,518.7000122070312,514.219970703125,518.7000122070312,87415800,0,1
2017-04-10,519.510009765625,519.760009765625,516.97998046875,519.1599731445312,66119400,0,1
2017-04-11,517.5999755859375,520.3099975585938,515.7100219726562,518.4000244140625,91743300,0,1
2017-04-12,519.3400268554688,521.47998046875,517.52001953125,517.8099975585938,97885600,0,1
2017-04-13,516.3300170898438,516.8800048828125,514.7100219726562,515.77001953125,75051800,0,1
2017-04-18,515.5499877929688,516.0900268554688,509.5199890136719,509.7300109863281,125086000,0,1
2017-04-19,511.3999938964844,514.3900146484375,509.760009765625,511.2799987792969,122048700,0,1
2017-04-20,510.1700134277344,513.989990234375,509.3999938964844,511.7200012207031,99882800,0,1
2017-04-21,512.7000122070312,513.6199951171875,510.1300048828125,512.1900024414062,131561300,0,1
2017-04-24,522.2100219726562,525.02001953125,520.989990234375,523.72998046875,169061000,0,1
2017-04-25,525.6099853515625,526.25,523.52001953125,524.0499877929688,112972100,0,1
2017-04-26,523.8800048828125,524.9199829101562,522.5399780273438,524.4600219726562,121254800,0,1
2017-04-27,522.4099731445312,522.469970703125,520.969970703125,521.8900146484375,107925600,0,1
2017-04-28,520.5599975585938,522.1900024414062,520.0800170898438,521.1300048828125,125508000,0,1
2017-05-02,522.4000244140625,525.8200073242188,521.7899780273438,525.47998046875,106867800,0,1
2017-05-03,524.6099853515625,525.2000122070312,523.8599853515625,525.2000122070312,86823500,0,1
2017-05-04,527.530029296875,528.760009765625,525.77001953125,528.4400024414062,127029600,0,1
2017-05-05,527.0,533.27001953125,526.6199951171875,533.27001953125,121041100,0,1
2017-05-08,534.0800170898438,535.0499877929688,531.7899780273438,534.3099975585938,113304500,0,1
2017-05-09,535.3200073242188,537.8400268554688,535.3200073242188,536.260009765625,100627900,0,1
2017-05-10,535.27001953125,535.8599853515625,534.1799926757812,535.6599731445312,114814000,0,1
2017-05-11,536.780029296875,537.22998046875,532.5,534.239990234375,152812400,0,1
2017-05-12,534.6400146484375,534.8699951171875,533.1300048828125,534.7100219726562,179749000,0,1
2017-05-15,535.3499755859375,536.1199951171875,533.9199829101562,535.4099731445312,106337500,0,1
2017-05-16,535.1799926757812,536.3400268554688,534.1099853515625,535.760009765625,96988000,0,1
2017-05-17,532.8099975585938,535.1300048828125,527.6400146484375,529.0599975585938,127457500,0,1
2017-05-18,527.0700073242188,527.5700073242188,519.47998046875,524.52001953125,132147600,0,1
2017-05-19,525.9000244140625,527.47998046875,524.469970703125,526.9199829101562,91590000,0,1
2017-05-22,528.489990234375,528.8900146484375,526.8900146484375,527.8499755859375,103453300,0,1
2017-05-23,526.6300048828125,529.4500122070312,525.8699951171875,528.1699829101562,83782400,0,1
2017-05-24,528.0399780273438,529.0399780273438,527.1099853515625,527.8699951171875,67638500,0,1
2017-05-25,528.8800048828125,529.280029296875,525.0900268554688,527.4600219726562,64690000,0,1
2017-05-26,526.739990234375,528.2100219726562,525.0,528.030029296875,75187400,0,1
